accession	trait	soma_target	gene_token	full_pvalue
GCST90242683	RING finger protein 148 levels (RNF148.7742.11.3)	RNF148.7742.11.3	RNF148	True
GCST90242684	RING finger protein 148 levels (RNF148.9955.40.3)	RNF148.9955.40.3	RNF148	True
GCST90242685	RING finger protein 150 levels (RNF150.9774.59.3)	RNF150.9774.59.3	RNF150	True
GCST90242686	RING finger protein 165 levels (RNF165.11561.32.3)	RNF165.11561.32.3	RNF165	True
GCST90242687	RING finger protein 215 levels (RNF215.7758.217.3)	RNF215.7758.217.3	RNF215	True
GCST90242688	RING finger protein 219 levels (RNF219.8822.163.3)	RNF219.8822.163.3	RNF219	True
GCST90242689	RNA binding protein fox-1 homolog 2 levels (RBFOX2.11462.8.3)	RBFOX2.11462.8.3	RBFOX2	True
GCST90242690	RNA demethylase ALKBH5 levels (ALKBH5.8793.13.3)	ALKBH5.8793.13.3	ALKBH5	True
GCST90242691	RNA polymerase II elongation factor ELL levels (ELL.11459.81.3)	ELL.11459.81.3	ELL	True
GCST90242692	RNA polymerase II elongation factor ELL2 levels (ELL2.11494.4.3)	ELL2.11494.4.3	ELL2	True
GCST90242693	RNA polymerase II subunit A C-terminal domain phosphatase SSU72 levels (SSU72.13566.2.3)	SSU72.13566.2.3	SSU72	True
GCST90242694	RNA-binding protein 24 levels (RBM24.11380.84.3)	RBM24.11380.84.3	RBM24	True
GCST90242695	RNA-binding protein 28 levels (RBM28.11927.3.3)	RBM28.11927.3.3	RBM28	True
GCST90242696	RNA-binding protein 3 levels (RBM3.12747.89.3)	RBM3.12747.89.3	RBM3	True
GCST90242697	RNA-binding protein 39 levels (RBM39.4284.18.3)	RBM39.4284.18.3	RBM39	True
GCST90242698	RNA-binding protein 40 levels (RNPC3.12814.17.3)	RNPC3.12814.17.3	RNPC3	True
GCST90242699	RNA-binding protein EWS levels (EWSR1.12988.49.3)	EWSR1.12988.49.3	EWSR1	True
GCST90242700	RNA-binding protein Nova-1 levels (NOVA1.12557.18.3)	NOVA1.12557.18.3	NOVA1	True
GCST90242701	Roundabout homolog 1 levels (ROBO1.5740.17.3)	ROBO1.5740.17.3	ROBO1	True
GCST90242702	Roundabout homolog 2 levels (ROBO2.5116.62.2)	ROBO2.5116.62.2	ROBO2	True
GCST90242703	Roundabout homolog 3 levels (ROBO3.5117.14.3)	ROBO3.5117.14.3	ROBO3	True
GCST90242704	rRNA methyltransferase 3, mitochondrial levels (RNMTL1.9584.105.3)	RNMTL1.9584.105.3	RNMTL1	True
GCST90242705	RUN and FYVE domain-containing protein 1 levels (RUFY1.11425.31.3)	RUFY1.11425.31.3	RUFY1	True
GCST90242706	Runt-related transcription factor 3 levels (RUNX3.11138.16.3)	RUNX3.11138.16.3	RUNX3	True
GCST90242707	S-formylglutathione hydrolase levels (ESD.4984.83.1)	ESD.4984.83.1	ESD	True
GCST90242708	S-methyl-5'-thioadenosine phosphorylase levels (MTAP.9910.9.3)	MTAP.9910.9.3	MTAP	True
GCST90242709	S-phase kinase-associated protein 1 levels (SKP1.3902.21.2)	SKP1.3902.21.2	SKP1	True
GCST90242710	SAGA-associated factor 29 homolog levels (CCDC101.12788.6.3)	CCDC101.12788.6.3	CCDC101	True
GCST90242711	Salivary acidic proline-rich phosphoprotein 1/2 levels (PRH1.10502.15.3)	PRH1.10502.15.3	PRH1	True
GCST90242712	Sarcoplasmic/endoplasmic reticulum calcium ATPase 3 levels (ATP2A3.13510.7.3)	ATP2A3.13510.7.3	ATP2A3	True
GCST90242713	SAYSvFN domain-containing protein 1 levels (SAYSD1.6594.64.3)	SAYSD1.6594.64.3	SAYSD1	True
GCST90242714	Scavenger receptor class A member 3 levels (SCARA3.11292.13.3)	SCARA3.11292.13.3	SCARA3	True
GCST90242715	Scavenger receptor class A member 3 levels (SCARA3.9731.29.3)	SCARA3.9731.29.3	SCARA3	True
GCST90242716	Scavenger receptor class A member 3 levels (SCARA3.10872.103.3)	SCARA3.10872.103.3	SCARA3	True
GCST90242717	Scavenger receptor class A member 3 levels (SCARA3.9569.14.3)	SCARA3.9569.14.3	SCARA3	True
GCST90242718	Scavenger receptor class A member 5 levels (SCARA5.10419.1.3)	SCARA5.10419.1.3	SCARA5	True
GCST90242719	Scavenger receptor class F member 2 levels (SCARF2.8956.96.3)	SCARF2.8956.96.3	SCARF2	True
GCST90242720	Scavenger receptor class F member 2 levels (SCARF2.5130.67.3)	SCARF2.5130.67.3	SCARF2	True
GCST90242721	Scavenger receptor cysteine-rich type 1 protein M130 levels (CD163.5028.59.1)	CD163.5028.59.1	CD163	True
GCST90242722	Sclerostin levels (SOST.13101.60.3)	SOST.13101.60.3	SOST	True
GCST90242723	SCP2 sterol-binding domain-containing protein 1 levels (SCP2D1.14175.78.3)	SCP2D1.14175.78.3	SCP2D1	True
GCST90242724	Secretagogin levels (SCGN.10894.25.3)	SCGN.10894.25.3	SCGN	True
GCST90242725	Secreted and transmembrane protein 1 levels (SECTM1.13093.6.3)	SECTM1.13093.6.3	SECTM1	True
GCST90242726	Secreted frizzled-related protein 1 levels (SFRP1.3221.54.1)	SFRP1.3221.54.1	SFRP1	True
GCST90242727	Secreted frizzled-related protein 2 levels (SFRP2.7751.121.3)	SFRP2.7751.121.3	SFRP2	True
GCST90242728	Secreted frizzled-related protein 3 levels (FRZB.13740.51.3)	FRZB.13740.51.3	FRZB	True
GCST90242729	Secreted frizzled-related protein 3 levels (FRZB.2841.13.2)	FRZB.2841.13.2	FRZB	True
GCST90242730	Secreted Ly-6/uPAR-related protein 1 levels (SLURP1.6401.73.3)	SLURP1.6401.73.3	SLURP1	True
GCST90242731	Secretoglobin family 1C member 1 levels (SCGB1C1.5960.49.3)	SCGB1C1.5960.49.3	SCGB1C1	True
GCST90242732	Secretoglobin family 1D member 2 levels (SCGB1D2.6508.68.3)	SCGB1D2.6508.68.3	SCGB1D2	True
GCST90242733	Secretogranin-1 levels (CHGB.8235.48.3)	CHGB.8235.48.3	CHGB	True
GCST90242734	Secretogranin-2 levels (SCG2.8377.87.4)	SCG2.8377.87.4	SCG2	True
GCST90242735	Secretogranin-3 levels (SCG3.7957.2.3)	SCG3.7957.2.3	SCG3	True
GCST90242736	Secretory carrier-associated membrane protein 5 levels (SCAMP5.13509.5.3)	SCAMP5.13509.5.3	SCAMP5	True
GCST90242737	Secretory phospholipase A2 receptor levels (PLA2R1.10916.44.3)	PLA2R1.10916.44.3	PLA2R1	True
GCST90242738	Segment polarity protein dishevelled homolog DVL-2 levels (DVL2.13575.40.3)	DVL2.13575.40.3	DVL2	True
GCST90242739	Seizure 6-like protein 2 levels (SEZ6L2.3867.49.1)	SEZ6L2.3867.49.1	SEZ6L2	True
GCST90242740	Selenide, water dikinase 1 levels (SEPHS1.14083.25.3)	SEPHS1.14083.25.3	SEPHS1	True
GCST90242741	Selenoprotein S levels (VIMP.11286.78.3)	VIMP.11286.78.3	VIMP	True
GCST90242742	Semaphorin-3A levels (SEMA3A.3222.11.2)	SEMA3A.3222.11.2	SEMA3A	True
GCST90242743	Semaphorin-3B levels (SEMA3B.5667.3.3)	SEMA3B.5667.3.3	SEMA3B	True
GCST90242744	Semaphorin-3C levels (SEMA3C.6448.36.3)	SEMA3C.6448.36.3	SEMA3C	True
GCST90242745	Semaphorin-3E levels (SEMA3E.5363.51.3)	SEMA3E.5363.51.3	SEMA3E	True
GCST90242746	Semaphorin-3G levels (SEMA3G.5628.21.3)	SEMA3G.5628.21.3	SEMA3G	True
GCST90242747	Semaphorin-4C levels (SEMA4C.7923.41.3)	SEMA4C.7923.41.3	SEMA4C	True
GCST90242748	Semaphorin-4D levels (SEMA4D.5737.61.3)	SEMA4D.5737.61.3	SEMA4D	True
GCST90242749	Semaphorin-5A levels (SEMA5A.13132.14.3)	SEMA5A.13132.14.3	SEMA5A	True
GCST90242750	Semaphorin-6A levels (SEMA6A.7945.10.3)	SEMA6A.7945.10.3	SEMA6A	True
GCST90242751	Semaphorin-6A levels (SEMA6A.5122.92.2)	SEMA6A.5122.92.2	SEMA6A	True
GCST90242752	Semaphorin-6C levels (SEMA6C.14597.5.3)	SEMA6C.14597.5.3	SEMA6C	True
GCST90242753	Semaphorin-7A levels (SEMA7A.7019.13.3)	SEMA7A.7019.13.3	SEMA7A	True
GCST90242754	Semenogelin-1 levels (SEMG1.7115.5.3)	SEMG1.7115.5.3	SEMG1	True
GCST90242755	Semenogelin-2 levels (SEMG2.6373.54.3)	SEMG2.6373.54.3	SEMG2	True
GCST90242756	Sentrin-specific protease 7 levels (SENP7.12626.6.3)	SENP7.12626.6.3	SENP7	True
GCST90242757	Sepiapterin reductase levels (SPR.9287.6.3)	SPR.9287.6.3	SPR	True
GCST90242758	Septin-10 levels (SEPT10.12690.33.3)	SEPT10.12690.33.3	SEPT10	True
GCST90242759	Serine palmitoyltransferase 1 levels (SPTLC1.7886.26.3)	SPTLC1.7886.26.3	SPTLC1	True
GCST90242760	Serine palmitoyltransferase 2 levels (SPTLC2.7267.2.3)	SPTLC2.7267.2.3	SPTLC2	True
GCST90241471	Immunoglobulin E levels (IGHE.IGK.IGL.4135.84.2)	IGHE.IGK.IGL.4135.84.2	IGHE	True
GCST90240990	E3 ISG15--protein ligase HERC5 levels (HERC5.12934.1.3)	HERC5.12934.1.3	HERC5	True
GCST90240991	E3 ubiquitin-protein ligase CBL levels (CBL.12016.60.3)	CBL.12016.60.3	CBL	True
GCST90240992	E3 ubiquitin-protein ligase CCNB1IP1 levels (CCNB1IP1.9728.4.3)	CCNB1IP1.9728.4.3	CCNB1IP1	True
GCST90240993	E3 ubiquitin-protein ligase DTX1 levels (DTX1.11430.49.3)	DTX1.11430.49.3	DTX1	True
GCST90240994	E3 ubiquitin-protein ligase DTX3L levels (DTX3L.11643.73.3)	DTX3L.11643.73.3	DTX3L	True
GCST90240995	E3 ubiquitin-protein ligase FANCL levels (FANCL.10063.10.3)	FANCL.10063.10.3	FANCL	True
GCST90240996	E3 ubiquitin-protein ligase HECW1 levels (HECW1.12669.30.3)	HECW1.12669.30.3	HECW1	True
GCST90240997	E3 ubiquitin-protein ligase Mdm2 levels (MDM2.4245.80.2)	MDM2.4245.80.2	MDM2	True
GCST90240998	E3 ubiquitin-protein ligase NEURL1 levels (NEURL1.13604.27.3)	NEURL1.13604.27.3	NEURL1	True
GCST90240999	E3 ubiquitin-protein ligase parkin levels (PARK2.13013.41.3)	PARK2.13013.41.3	PARK2	True
GCST90241000	E3 ubiquitin-protein ligase pellino homolog 2 levels (PELI2.12702.13.3)	PELI2.12702.13.3	PELI2	True
GCST90241001	E3 ubiquitin-protein ligase RBBP6 levels (RBBP6.9887.40.3)	RBBP6.9887.40.3	RBBP6	True
GCST90241002	E3 ubiquitin-protein ligase rififylin levels (RFFL.14186.13.3)	RFFL.14186.13.3	RFFL	True
GCST90241003	E3 ubiquitin-protein ligase RNF114 levels (RNF114.9957.9.3)	RNF114.9957.9.3	RNF114	True
GCST90241004	E3 ubiquitin-protein ligase RNF128 levels (RNF128.6510.56.3)	RNF128.6510.56.3	RNF128	True
GCST90241005	E3 ubiquitin-protein ligase RNF13 levels (RNF13.8087.250.3)	RNF13.8087.250.3	RNF13	True
GCST90241006	E3 ubiquitin-protein ligase RNF149 levels (RNF149.9773.15.3)	RNF149.9773.15.3	RNF149	True
GCST90241007	E3 ubiquitin-protein ligase RNF34 levels (RNF34.13386.248.3)	RNF34.13386.248.3	RNF34	True
GCST90241008	E3 ubiquitin-protein ligase RNF43 levels (RNF43.14120.2.3)	RNF43.14120.2.3	RNF43	True
GCST90241009	E3 ubiquitin-protein ligase RNF8 levels (RNF8.14663.44.3)	RNF8.14663.44.3	RNF8	True
GCST90241010	E3 ubiquitin-protein ligase ZFP91 levels (ZFP91.13651.54.3)	ZFP91.13651.54.3	ZFP91	True
GCST90241011	E3 ubiquitin-protein ligase ZNRF3 levels (ZNRF3.13428.52.3)	ZNRF3.13428.52.3	ZNRF3	True
GCST90241012	E3 ubiquitin-protein ligase ZNRF3 levels (ZNRF3.14122.132.3)	ZNRF3.14122.132.3	ZNRF3	True
GCST90241013	Early endosome antigen 1 levels (EEA1.14043.12.3)	EEA1.14043.12.3	EEA1	True
GCST90241014	Early placenta insulin-like peptide levels (INSL4.6410.26.3)	INSL4.6410.26.3	INSL4	True
GCST90241015	Ecto-ADP-ribosyltransferase 3 levels (ART3.10970.3.3)	ART3.10970.3.3	ART3	True
GCST90241016	Ecto-ADP-ribosyltransferase 3 levels (ART3.7970.315.3)	ART3.7970.315.3	ART3	True
GCST90241017	Ecto-ADP-ribosyltransferase 4 levels (ART4.6576.1.3)	ART4.6576.1.3	ART4	True
GCST90241018	Ecto-NOX disulfide-thiol exchanger 2 levels (ENOX2.13422.66.3)	ENOX2.13422.66.3	ENOX2	True
GCST90241019	Ectodysplasin-A, secreted form levels (EDA.14024.196.3)	EDA.14024.196.3	EDA	True
GCST90241020	Ectodysplasin-A, secreted form levels (EDA.2826.53.2)	EDA.2826.53.2	EDA	True
GCST90241021	Ectonucleoside triphosphate diphosphohydrolase 1 levels (ENTPD1.7999.23.3)	ENTPD1.7999.23.3	ENTPD1	True
GCST90241022	Ectonucleoside triphosphate diphosphohydrolase 1 levels (ENTPD1.3182.38.2)	ENTPD1.3182.38.2	ENTPD1	True
GCST90241023	Ectonucleoside triphosphate diphosphohydrolase 3 levels (ENTPD3.4436.1.2)	ENTPD3.4436.1.2	ENTPD3	True
GCST90241024	Ectonucleoside triphosphate diphosphohydrolase 5 levels (ENTPD5.4437.56.3)	ENTPD5.4437.56.3	ENTPD5	True
GCST90241025	Ectonucleoside triphosphate diphosphohydrolase 6 levels (ENTPD6.8932.1.3)	ENTPD6.8932.1.3	ENTPD6	True
GCST90241026	Ectonucleotide pyrophosphatase/phosphodiesterase family member 5 levels (ENPP5.6556.5.3)	ENPP5.6556.5.3	ENPP5	True
GCST90241027	Ectonucleotide pyrophosphatase/phosphodiesterase family member 7 levels (ENPP7.4435.66.2)	ENPP7.4435.66.2	ENPP7	True
GCST90241028	EF-hand calcium-binding domain-containing protein 14 levels (EFCAB14.10830.5.3)	EFCAB14.10830.5.3	EFCAB14	True
GCST90241029	EH domain-binding protein 1 levels (EHBP1.12813.18.3)	EHBP1.12813.18.3	EHBP1	True
GCST90241030	EH domain-containing protein 4 levels (EHD4.11421.10.3)	EHD4.11421.10.3	EHD4	True
GCST90241031	Elafin levels (PI3.4982.54.1)	PI3.4982.54.1	PI3	True
GCST90241032	ELAV-like protein 1 levels (ELAVL1.11592.1.3)	ELAVL1.11592.1.3	ELAVL1	True
GCST90241033	Electroneutral sodium bicarbonate exchanger 1 levels (SLC4A8.12798.46.3)	SLC4A8.12798.46.3	SLC4A8	True
GCST90241034	Elongation factor 1-beta levels (EEF1B2.5882.34.2)	EEF1B2.5882.34.2	EEF1B2	True
GCST90241035	EMI domain-containing protein 1 levels (EMID1.13021.12.3)	EMID1.13021.12.3	EMID1	True
GCST90241036	EMILIN-3 levels (EMILIN3.8773.172.3)	EMILIN3.8773.172.3	EMILIN3	True
GCST90241037	EMILIN-3 levels (EMILIN3.8964.14.3)	EMILIN3.8964.14.3	EMILIN3	True
GCST90241038	EMILIN-3 levels (EMILIN3.9991.112.3)	EMILIN3.9991.112.3	EMILIN3	True
GCST90241039	Ena/VASP-like protein levels (EVL.11656.110.3)	EVL.11656.110.3	EVL	True
GCST90241040	Endogenous retrovirus group V member 1 Env polyprotein levels (ERVV.1.12531.5.3)	ERVV.1.12531.5.3	ERVV	True
GCST90241041	Endoglin levels (ENG.4908.6.1)	ENG.4908.6.1	ENG	True
GCST90241042	Endoplasmic reticulum aminopeptidase 1 levels (ERAP1.4964.67.1)	ERAP1.4964.67.1	ERAP1	True
GCST90241043	Endoplasmic reticulum aminopeptidase 2 levels (ERAP2.8960.3.3)	ERAP2.8960.3.3	ERAP2	True
GCST90241044	Endoplasmic reticulum lectin 1 levels (ERLEC1.8957.72.3)	ERLEC1.8957.72.3	ERLEC1	True
GCST90241045	Endoplasmic reticulum mannosyl-oligosaccharide 1,2-alpha-mannosidase levels (MAN1B1.7071.23.4)	MAN1B1.7071.23.4	MAN1B1	True
GCST90241046	Endoplasmic reticulum resident protein 29 levels (ERP29.13728.19.3)	ERP29.13728.19.3	ERP29	True
GCST90241047	Endoplasmic reticulum resident protein 44 levels (ERP44.6064.4.3)	ERP44.6064.4.3	ERP44	True
GCST90241048	Endoplasmin levels (HSP90B1.6393.63.3)	HSP90B1.6393.63.3	HSP90B1	True
GCST90241049	Endostatin levels (COL18A1.2201.17.6)	COL18A1.2201.17.6	COL18A1	True
GCST90241050	Endothelial cell-selective adhesion molecule levels (ESAM.7841.84.3)	ESAM.7841.84.3	ESAM	True
GCST90241051	Endothelial cell-selective adhesion molecule levels (ESAM.2981.9.3)	ESAM.2981.9.3	ESAM	True
GCST90241052	Endothelial cell-specific molecule 1 levels (ESM1.3805.16.2)	ESM1.3805.16.2	ESM1	True
GCST90241053	Endothelial differentiation-related factor 1 levels (EDF1.12415.122.3)	EDF1.12415.122.3	EDF1	True
GCST90241054	Endothelial monocyte-activating polypeptide 2 levels (AIMP1.2714.78.2)	AIMP1.2714.78.2	AIMP1	True
GCST90241055	Endothelin-2 levels (EDN2.12574.36.3)	EDN2.12574.36.3	EDN2	True
GCST90241056	Endothelin-converting enzyme 1 levels (ECE1.3611.70.4)	ECE1.3611.70.4	ECE1	True
GCST90241057	Endothelin-converting enzyme 1 levels (ECE1.8767.44.3)	ECE1.8767.44.3	ECE1	True
GCST90241058	Engulfment and cell motility protein 1 levels (ELMO1.12764.3.3)	ELMO1.12764.3.3	ELMO1	True
GCST90241059	Enhancer of mRNA-decapping protein 4 levels (EDC4.13066.42.3)	EDC4.13066.42.3	EDC4	True
GCST90241060	Enhancer of rudimentary homolog levels (ERH.11614.29.3)	ERH.11614.29.3	ERH	True
GCST90241061	Enteropeptidase levels (TMPRSS15.3189.61.2)	TMPRSS15.3189.61.2	TMPRSS15	True
GCST90241062	Envoplakin levels (EVPL.14019.73.3)	EVPL.14019.73.3	EVPL	True
GCST90241063	Eotaxin levels (CCL11.5301.7.3)	CCL11.5301.7.3	CCL11	True
GCST90241064	EP300-interacting inhibitor of differentiation 3 levels (EID3.8079.39.3)	EID3.8079.39.3	EID3	True
GCST90241065	Ephrin type-A receptor 1 levels (EPHA1.3431.54.2)	EPHA1.3431.54.2	EPHA1	True
GCST90241066	Ephrin type-A receptor 10 levels (EPHA10.6036.78.3)	EPHA10.6036.78.3	EPHA10	True
GCST90241067	Ephrin type-A receptor 2 levels (EPHA2.4834.61.2)	EPHA2.4834.61.2	EPHA2	True
GCST90241068	Ephrin type-A receptor 5 levels (EPHA5.14089.41.3)	EPHA5.14089.41.3	EPHA5	True
GCST90241069	Ephrin type-A receptor 5 levels (EPHA5.3806.55.1)	EPHA5.3806.55.1	EPHA5	True
GCST90241070	Ephrin type-B receptor 2 levels (EPHB2.8225.86.3)	EPHB2.8225.86.3	EPHB2	True
GCST90241071	Ephrin type-B receptor 2 levels (EPHB2.5077.28.3)	EPHB2.5077.28.3	EPHB2	True
GCST90241072	Ephrin type-B receptor 2 levels (EPHB2.8348.4.3)	EPHB2.8348.4.3	EPHB2	True
GCST90241073	Ephrin type-B receptor 3 levels (EPHB3.9220.7.3)	EPHB3.9220.7.3	EPHB3	True
GCST90241074	Ephrin type-B receptor 4 levels (EPHB4.3612.6.4)	EPHB4.3612.6.4	EPHB4	True
GCST90241075	Ephrin type-B receptor 6 levels (EPHB6.5078.82.3)	EPHB6.5078.82.3	EPHB6	True
GCST90241076	Ephrin type-B receptor 6 levels (EPHB6.9261.14.3)	EPHB6.9261.14.3	EPHB6	True
GCST90241077	Ephrin-A2 levels (EFNA2.14124.6.3)	EFNA2.14124.6.3	EFNA2	True
GCST90241078	Ephrin-A3 levels (EFNA3.14153.8.3)	EFNA3.14153.8.3	EFNA3	True
GCST90241079	Ephrin-A3 levels (EFNA3.5759.10.3)	EFNA3.5759.10.3	EFNA3	True
GCST90241080	Ephrin-A4 levels (EFNA4.2614.28.2)	EFNA4.2614.28.2	EFNA4	True
GCST90241081	Ephrin-A5 levels (EFNA5.2615.60.2)	EFNA5.2615.60.2	EFNA5	True
GCST90241082	Ephrin-B1 levels (EFNB1.5746.37.3)	EFNB1.5746.37.3	EFNB1	True
GCST90241083	Ephrin-B1 levels (EFNB1.13104.32.3)	EFNB1.13104.32.3	EFNB1	True
GCST90241084	Ephrin-B2 levels (EFNB2.14131.37.3)	EFNB2.14131.37.3	EFNB2	True
GCST90241085	Ephrin-B2 levels (EFNB2.8772.5.3)	EFNB2.8772.5.3	EFNB2	True
GCST90241086	Ephrin-B3 levels (EFNB3.7785.1.3)	EFNB3.7785.1.3	EFNB3	True
GCST90241087	Ephrin-B3 levels (EFNB3.2514.65.3)	EFNB3.2514.65.3	EFNB3	True
GCST90241088	Epidermal growth factor levels (EGF.5509.7.3)	EGF.5509.7.3	EGF	True
GCST90241089	Epidermal growth factor receptor levels (EGFR.2677.1.1)	EGFR.2677.1.1	EGFR	True
GCST90241090	Epidermal growth factor receptor levels (EGFR.5328.33.37)	EGFR.5328.33.37	EGFR	True
GCST90241091	Epidermal growth factor receptor substrate 15-like 1 levels (EPS15L1.4212.5.3)	EPS15L1.4212.5.3	EPS15L1	True
GCST90241092	Epididymal secretory protein E1 levels (NPC2.6259.60.3)	NPC2.6259.60.3	NPC2	True
GCST90241093	Epididymal secretory protein E3-beta levels (EDDM3B.7782.34.3)	EDDM3B.7782.34.3	EDDM3B	True
GCST90241094	Epididymal-specific lipocalin-10 levels (LCN10.13007.66.3)	LCN10.13007.66.3	LCN10	True
GCST90241095	Epididymal-specific lipocalin-8 levels (LCN8.5643.2.3)	LCN8.5643.2.3	LCN8	True
GCST90241096	Epididymis-specific alpha-mannosidase levels (MAN2B2.9251.28.3)	MAN2B2.9251.28.3	MAN2B2	True
GCST90241097	Epiphycan levels (EPYC.9278.9.3)	EPYC.9278.9.3	EPYC	True
GCST90241098	Epiregulin levels (EREG.4956.2.1)	EREG.4956.2.1	EREG	True
GCST90241099	ER membrane protein complex subunit 1 levels (EMC1.11989.35.3)	EMC1.11989.35.3	EMC1	True
GCST90241100	ER membrane protein complex subunit 4 levels (EMC4.13516.46.3)	EMC4.13516.46.3	EMC4	True
GCST90241101	Erlin-1 levels (ERLIN1.8776.10.3)	ERLIN1.8776.10.3	ERLIN1	True
GCST90241102	ERO1-like protein alpha levels (ERO1L.7060.2.3)	ERO1L.7060.2.3	ERO1L	True
GCST90241103	ERO1-like protein beta levels (ERO1LB.7994.41.3)	ERO1LB.7994.41.3	ERO1LB	True
GCST90241104	Erythrocyte band 7 integral membrane protein levels (STOM.8261.51.3)	STOM.8261.51.3	STOM	True
GCST90241105	Erythroid membrane-associated protein levels (ERMAP.8631.13.3)	ERMAP.8631.13.3	ERMAP	True
GCST90241106	Erythropoietin levels (EPO.5813.58.3)	EPO.5813.58.3	EPO	True
GCST90241107	Erythropoietin receptor levels (EPOR.2715.25.2)	EPOR.2715.25.2	EPOR	True
GCST90241108	ES1 protein homolog, mitochondrial levels (C21orf33.5981.6.3)	C21orf33.5981.6.3	C21orf33	True
GCST90241109	Essential MCU regulator, mitochondrial levels (SMDT1.9497.3.3)	SMDT1.9497.3.3	SMDT1	True
GCST90241110	Estradiol 17-beta-dehydrogenase 1 levels (HSD17B1.4708.3.2)	HSD17B1.4708.3.2	HSD17B1	True
GCST90241111	Estradiol 17-beta-dehydrogenase 2 levels (HSD17B2.8979.1.3)	HSD17B2.8979.1.3	HSD17B2	True
GCST90241112	Estrogen receptor levels (ESR1.2945.25.1)	ESR1.2945.25.1	ESR1	True
GCST90241113	Estrogen sulfotransferase levels (SULT1E1.9878.3.3)	SULT1E1.9878.3.3	SULT1E1	True
GCST90241114	Ethanolamine kinase 1 levels (ETNK1.8328.9.3)	ETNK1.8328.9.3	ETNK1	True
GCST90241115	ETS domain-containing protein Elk-1 levels (ELK1.10006.25.3)	ELK1.10006.25.3	ELK1	True
GCST90241116	ETS domain-containing protein Elk-3 levels (ELK3.5707.55.3)	ELK3.5707.55.3	ELK3	True
GCST90241117	ETS homologous factor levels (EHF.13387.55.3)	EHF.13387.55.3	EHF	True
GCST90241118	ETS-related transcription factor Elf-5 levels (ELF5.13457.33.3)	ELF5.13457.33.3	ELF5	True
GCST90241119	Eukaryotic initiation factor 4A-III levels (EIF4A3.4997.19.1)	EIF4A3.4997.19.1	EIF4A3	True
GCST90241120	Eukaryotic translation initiation factor 1A, X-chromosomal levels (EIF1AX.9850.38.3)	EIF1AX.9850.38.3	EIF1AX	True
GCST90241121	Eukaryotic translation initiation factor 3 subunit G levels (EIF3G.11454.87.3)	EIF3G.11454.87.3	EIF3G	True
GCST90241122	Eukaryotic translation initiation factor 3 subunit J levels (EIF3J.13497.34.3)	EIF3J.13497.34.3	EIF3J	True
GCST90241123	Eukaryotic translation initiation factor 4 gamma 3 levels (EIF4G3.13991.47.3)	EIF4G3.13991.47.3	EIF4G3	True
GCST90241124	Eukaryotic translation initiation factor 4B levels (EIF4B.14675.20.3)	EIF4B.14675.20.3	EIF4B	True
GCST90241125	Eukaryotic translation initiation factor 4E type 2 levels (EIF4E2.9745.20.3)	EIF4E2.9745.20.3	EIF4E2	True
GCST90241126	Eukaryotic translation initiation factor 4E-binding protein 2 levels (EIF4EBP2.4184.43.3)	EIF4EBP2.4184.43.3	EIF4EBP2	True
GCST90241127	Eukaryotic translation initiation factor 5 levels (EIF5.2612.5.2)	EIF5.2612.5.2	EIF5	True
GCST90241128	Eukaryotic translation initiation factor 5A-1 levels (EIF5A.5888.29.3)	EIF5A.5888.29.3	EIF5A	True
GCST90241129	Exosome complex component CSL4 levels (EXOSC1.7930.3.3)	EXOSC1.7930.3.3	EXOSC1	True
GCST90241130	Exosome complex component RRP40 levels (EXOSC3.12605.1.3)	EXOSC3.12605.1.3	EXOSC3	True
GCST90241131	Exostosin-like 2 levels (EXTL2.6528.95.3)	EXTL2.6528.95.3	EXTL2	True
GCST90241132	Extracellular sulfatase Sulf-2 levels (SULF2.8305.18.3)	SULF2.8305.18.3	SULF2	True
GCST90241133	Extracellular superoxide dismutase [Cu-Zn] levels (SOD3.8463.2.3)	SOD3.8463.2.3	SOD3	True
GCST90241134	Ezrin levels (EZR.9753.17.3)	EZR.9753.17.3	EZR	True
GCST90241135	F-box only protein 3 levels (FBXO3.14628.72.3)	FBXO3.14628.72.3	FBXO3	True
GCST90241136	F-box/LRR-repeat protein 4 levels (FBXL4.11416.23.3)	FBXL4.11416.23.3	FBXL4	True
GCST90241137	F-box/LRR-repeat protein 4 levels (FBXL4.9951.36.3)	FBXL4.9951.36.3	FBXL4	True
GCST90241138	F-box/LRR-repeat protein 4 levels (FBXL4.9921.14.3)	FBXL4.9921.14.3	FBXL4	True
GCST90241139	F-box/LRR-repeat protein 5 levels (FBXL5.12846.3.3)	FBXL5.12846.3.3	FBXL5	True
GCST90241140	FACT complex subunit SSRP1 levels (SSRP1.5032.64.1)	SSRP1.5032.64.1	SSRP1	True
GCST90241141	Fas apoptotic inhibitory molecule 3 levels (FAIM3.6574.11.3)	FAIM3.6574.11.3	FAIM3	True
GCST90241142	FAS-associated factor 2 levels (FAF2.6956.37.3)	FAF2.6956.37.3	FAF2	True
GCST90241143	FAS-associated factor 2 levels (FAF2.9738.7.3)	FAF2.9738.7.3	FAF2	True
GCST90241144	Fatty acid hydroxylase domain-containing protein 2 levels (FAXDC2.9074.6.3)	FAXDC2.9074.6.3	FAXDC2	True
GCST90241145	Fatty acid-binding protein, adipocyte levels (FABP4.9851.9.3)	FABP4.9851.9.3	FABP4	True
